Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,60.48,61.700001,60.00,60.060001,10431200,60.060001
2016-06-23,62.84,63.27,62.470001,63.25,3609800,63.25
2016-06-22,62.290001,62.639999,61.880001,61.950001,3461800,61.950001
2016-06-21,62.299999,62.48,61.75,62.290001,3359700,62.290001
2016-06-20,62.650002,63.41,62.23,62.299999,4281900,62.299999
2016-06-17,61.93,62.43,61.619999,61.860001,6492500,61.860001
2016-06-16,60.939999,62.110001,60.66,61.93,5525100,61.93
2016-06-15,61.470001,62.16,60.860001,61.419998,5947700,61.419998
2016-06-14,63.59,63.66,60.380001,61.07,12316100,61.07
2016-06-13,64.800003,64.889999,63.630001,63.669998,5865900,63.669998
2016-06-10,65.260002,65.480003,64.709999,64.970001,3923500,64.970001
2016-06-09,65.720001,65.779999,64.900002,65.709999,3883800,65.709999
2016-06-08,65.940002,66.580002,65.940002,66.260002,2592200,66.260002
2016-06-07,66.150002,66.599998,65.879997,65.889999,3777700,65.889999
2016-06-06,65.550003,66.199997,65.50,65.940002,3915200,65.940002
2016-06-03,65.529999,65.82,64.769997,65.489998,4336100,65.489998
2016-06-02,65.860001,66.410004,65.599998,66.410004,3052200,66.410004
2016-06-01,65.760002,65.959999,65.18,65.910004,3810200,65.910004
2016-05-31,65.699997,65.919998,65.400002,65.760002,5091200,65.760002
2016-05-27,65.389999,65.699997,65.330002,65.519997,3925700,65.519997
2016-05-26,65.290001,65.370003,64.949997,65.230003,3525900,65.230003
2016-05-25,65.040001,65.760002,65.010002,65.309998,5755900,65.309998
2016-05-24,63.790001,65.099998,63.790001,64.870003,3936500,64.870003
2016-05-23,63.860001,64.099998,63.560001,63.59,3068500,63.59
2016-05-20,63.16,64.139999,62.950001,63.919998,5278200,63.919998
2016-05-19,63.060001,63.529999,62.32,62.740002,4206300,62.740002
2016-05-18,62.529999,63.610001,62.529999,63.52,5302300,63.52
2016-05-17,63.860001,64.099998,62.59,62.759998,7968400,62.759998
2016-05-16,64.019997,64.300003,63.669998,64.07,4589900,64.07
2016-05-13,64.349998,64.980003,64.050003,64.120003,4498700,64.120003
2016-05-12,65.07,65.360001,64.07,64.339996,3607800,64.339996
2016-05-11,64.620003,65.32,64.410004,64.589996,4926100,64.589996
2016-05-10,64.339996,65.129997,63.990002,64.839996,4039500,64.839996
2016-05-09,64.230003,64.580002,63.77,63.98,4223300,63.98
2016-05-06,63.759998,64.709999,63.450001,64.510002,3654400,64.510002
2016-05-05,64.459999,64.720001,63.790001,63.919998,4025200,63.919998
2016-05-04,64.129997,64.75,63.830002,64.260002,4977600,64.260002
2016-05-03,65.029999,65.050003,64.330002,64.849998,4737000,64.849998
2016-05-02,65.580002,66.050003,65.18,65.68,4328100,65.68
2016-04-29,65.57,65.790001,64.849998,65.43,5031800,65.43
2016-04-28,65.730003,66.489998,65.559998,65.839996,3775900,65.839996
2016-04-27,66.389999,66.669998,65.830002,66.230003,4534600,66.230003
2016-04-26,65.980003,66.43,65.629997,66.199997,3978700,66.199997
2016-04-25,65.639999,65.849998,65.139999,65.699997,4201700,65.699997
2016-04-22,65.050003,66.220001,65.050003,65.93,5946300,65.93
2016-04-21,67.00,67.339996,65.400002,65.610001,9466700,65.610001
2016-04-20,64.120003,65.330002,63.919998,65.019997,8498700,65.019997
2016-04-19,62.75,63.610001,62.740002,63.57,4798400,63.57
2016-04-18,61.810001,62.630001,61.73,62.59,3140100,62.59
2016-04-15,62.66,62.84,61.91,62.139999,4395700,62.139999
2016-04-14,62.16,62.68,61.970001,62.509998,4017900,62.509998
2016-04-13,60.889999,62.43,60.84,62.16,4689700,62.16
2016-04-12,60.00,60.709999,59.799999,60.68,4360300,60.68
2016-04-11,59.669998,60.080002,59.279999,59.799999,4033400,59.799999
2016-04-08,59.00,60.259998,58.990002,59.50,4602800,59.50
2016-04-07,59.450001,59.52,58.700001,58.860001,4051300,58.860001
2016-04-06,59.84,60.049999,59.419998,59.880001,4112100,59.880001
2016-04-05,60.139999,60.439999,59.68,60.189999,4640000,59.899998
2016-04-04,61.009998,61.060001,60.459999,60.619999,3367300,60.327927
2016-04-01,60.98,61.66,60.560001,61.099998,4167500,60.805614
2016-03-31,60.509998,61.52,60.279999,61.400002,6310200,61.104171
2016-03-30,60.98,61.00,60.189999,60.290001,5103200,59.999519
2016-03-29,60.110001,60.650002,59.459999,60.599998,4210300,60.308023
2016-03-28,60.77,60.790001,59.860001,60.279999,3261900,59.989565
2016-03-24,60.220001,60.52,59.599998,60.470001,3549900,60.178652
2016-03-23,60.700001,60.91,60.279999,60.630001,3605100,60.337881
2016-03-22,60.77,60.900002,59.91,60.610001,4783200,60.317977
2016-03-21,60.990002,61.380001,60.849998,61.209999,3665600,60.915084
2016-03-18,60.310001,61.450001,60.029999,61.220001,8341300,60.925038
2016-03-17,59.549999,60.50,59.32,60.080002,4609800,59.790531
2016-03-16,58.91,59.900002,58.720001,59.700001,4882600,59.412361
2016-03-15,59.360001,59.400002,58.630001,59.23,3881900,58.944625
2016-03-14,59.509998,59.939999,59.009998,59.57,4253400,59.282987
2016-03-11,59.529999,59.91,59.02,59.459999,7837300,59.173516
2016-03-10,59.290001,59.459999,58.049999,58.75,6484100,58.466938
2016-03-09,59.73,59.790001,58.52,59.049999,6469000,58.765492
2016-03-08,58.84,60.00,58.709999,59.43,10556900,59.143662
2016-03-07,58.00,59.48,57.630001,59.00,9373500,58.715733
2016-03-04,58.439999,58.650002,57.810001,58.290001,5410000,58.009155
2016-03-03,57.16,58.18,57.16,58.09,6848000,57.810118
2016-03-02,56.880001,57.23,56.57,57.119999,7266200,56.84479
2016-03-01,56.029999,56.84,55.619999,56.799999,9160800,56.526332
2016-02-29,55.299999,56.150002,54.810001,55.580002,10380500,55.312213
2016-02-26,55.709999,55.900002,55.150002,55.380001,5886800,55.113176
2016-02-25,54.779999,55.389999,54.299999,55.389999,4385900,55.123126
2016-02-24,54.450001,54.869999,53.560001,54.639999,5596400,54.376739
2016-02-23,55.52,55.599998,54.959999,55.110001,5884100,54.844476
2016-02-22,54.709999,55.630001,54.709999,55.630001,6537800,55.361971
2016-02-19,54.25,55.029999,54.029999,54.709999,6557000,54.446402
2016-02-18,53.50,54.349998,53.450001,54.150002,8502900,53.889102
2016-02-17,53.50,54.00,53.299999,53.610001,8638900,53.351703
2016-02-16,53.009998,53.48,52.73,53.18,7163800,52.923775
2016-02-12,51.880001,52.73,51.639999,52.66,6107700,52.40628
2016-02-11,51.220001,51.59,50.27,51.110001,9214500,50.863748
2016-02-10,53.00,53.43,52.279999,52.290001,7081900,52.038063
2016-02-09,52.259998,53.02,51.91,52.630001,8588900,52.376425
2016-02-08,53.240002,53.450001,52.23,52.400002,11830600,52.147534
2016-02-05,54.720001,54.849998,53.810001,53.98,9159600,53.719919
2016-02-04,54.080002,54.459999,53.810001,54.380001,6904000,54.117994
2016-02-03,54.00,54.290001,52.830002,54.110001,9729800,53.849294
2016-02-02,54.330002,54.389999,53.490002,53.66,11698400,53.401462
2016-02-01,53.41,54.990002,53.00,54.700001,9861900,54.436452
2016-01-29,53.18,53.709999,53.049999,53.50,13981100,53.242233
2016-01-28,54.68,54.759998,52.150002,52.880001,18015000,52.625221
2016-01-27,55.369999,55.82,54.419998,54.52,11044100,54.257319
2016-01-26,55.200001,55.740002,54.959999,55.09,12844800,54.824572
2016-01-25,54.459999,55.77,54.139999,55.02,18498300,54.75491
2016-01-22,58.389999,58.889999,54.139999,55.060001,43783400,54.794718
2016-01-21,63.00,64.32,62.509998,62.639999,8992300,62.338195
2016-01-20,61.540001,63.540001,61.290001,63.029999,9043800,62.726315
2016-01-19,63.41,63.790001,62.240002,62.639999,7652100,62.338195
2016-01-15,62.029999,63.049999,61.50,62.91,8643800,62.606894
2016-01-14,62.849998,63.75,62.369999,63.290001,6664000,62.985065
2016-01-13,63.650002,64.370003,62.23,62.849998,11291200,62.547182
2016-01-12,64.800003,64.900002,63.599998,64.400002,7560000,64.089717
2016-01-11,63.740002,64.209999,63.099998,64.050003,8157100,63.741405
2016-01-08,64.18,64.410004,63.57,63.630001,10003600,63.323427
2016-01-07,63.310001,64.25,63.080002,63.84,11323900,63.532414
2016-01-06,65.239998,65.550003,64.239998,64.419998,9752200,64.109617
2016-01-05,67.370003,67.709999,65.669998,66.550003,10809200,65.940759
2016-01-04,68.089996,68.18,66.769997,67.589996,9248300,66.971232
