Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,75.199997,75.610001,72.989998,73.029999,11833900,73.029999
2016-06-23,77.660004,78.25,77.220001,78.220001,3566200,78.220001
2016-06-22,76.889999,77.089996,76.18,76.43,3049600,76.43
2016-06-21,76.449997,76.900002,76.010002,76.489998,3266500,76.489998
2016-06-20,76.910004,77.349998,76.389999,76.43,4079500,76.43
2016-06-17,75.349998,76.660004,75.239998,75.93,5321500,75.93
2016-06-16,74.410004,75.139999,73.349998,74.989998,4060300,74.989998
2016-06-15,75.190002,75.949997,74.339996,75.07,3788500,75.07
2016-06-14,75.059998,75.550003,73.949997,74.860001,4057000,74.860001
2016-06-13,75.699997,76.339996,75.230003,75.230003,4050800,75.230003
2016-06-10,76.32,76.559998,75.379997,76.029999,4854200,76.029999
2016-06-09,77.389999,77.50,76.639999,77.160004,3773700,77.160004
2016-06-08,77.50,78.699997,77.260002,78.110001,5509100,78.110001
2016-06-07,76.529999,77.279999,76.440002,76.809998,4216100,76.809998
2016-06-06,75.360001,76.529999,75.110001,76.419998,4771600,76.419998
2016-06-03,73.650002,75.139999,73.099998,75.040001,6580100,75.040001
2016-06-02,72.599998,73.639999,72.279999,73.620003,4569300,73.620003
2016-06-01,71.980003,72.489998,71.269997,72.269997,2698600,72.269997
2016-05-31,72.029999,73.169998,71.949997,72.510002,4010200,72.510002
2016-05-27,72.150002,72.199997,71.50,71.959999,2943900,71.959999
2016-05-26,73.239998,73.589996,72.059998,72.080002,4110300,72.080002
2016-05-25,71.629997,72.699997,71.260002,72.57,5035400,72.57
2016-05-24,70.779999,71.25,70.25,71.089996,3838800,71.089996
2016-05-23,69.800003,70.949997,69.589996,70.400002,3992800,70.400002
2016-05-20,70.00,70.779999,69.75,69.870003,5517000,69.870003
2016-05-19,69.93,70.120003,69.040001,69.43,6129700,69.43
2016-05-18,70.620003,71.870003,70.080002,70.589996,5159800,70.589996
2016-05-17,70.699997,72.18,70.449997,71.050003,4829600,71.050003
2016-05-16,70.389999,71.699997,70.099998,70.699997,4500300,70.699997
2016-05-13,71.629997,71.779999,70.059998,70.07,6392700,70.07
2016-05-12,72.919998,73.239998,71.18,71.699997,4431400,71.699997
2016-05-11,72.849998,73.610001,72.360001,72.43,4583700,72.43
2016-05-10,70.779999,72.709999,70.589996,72.510002,6505300,72.510002
2016-05-09,72.330002,72.629997,70.57,70.779999,9374600,70.779999
2016-05-06,72.160004,73.419998,71.620003,73.360001,6933000,73.360001
2016-05-05,74.150002,74.599998,72.699997,72.790001,8064000,72.790001
2016-05-04,76.18,76.309998,73.900002,74.239998,6867000,74.239998
2016-05-03,76.849998,77.099998,75.580002,76.360001,4780900,76.360001
2016-05-02,77.349998,78.07,76.620003,77.839996,3326100,77.839996
2016-04-29,78.019997,79.00,77.32,77.720001,7665100,77.720001
2016-04-28,78.029999,79.169998,77.599998,77.75,4817400,77.75
2016-04-27,77.980003,78.889999,77.599998,78.68,4412700,78.68
2016-04-26,77.150002,77.739998,76.470001,77.650002,6052100,77.650002
2016-04-25,78.50,78.860001,76.199997,76.790001,8079800,76.790001
2016-04-22,78.93,79.18,77.199997,78.32,10099600,78.32
2016-04-21,78.75,79.580002,78.190002,78.660004,6509100,78.660004
2016-04-20,80.25,80.599998,79.300003,79.739998,5356800,78.969999
2016-04-19,79.989998,80.889999,79.459999,80.389999,6283500,79.613724
2016-04-18,78.470001,79.870003,78.139999,79.25,4822200,78.484733
2016-04-15,79.379997,79.779999,78.730003,79.169998,5508500,78.405503
2016-04-14,79.440002,79.720001,78.370003,79.050003,5372300,78.286667
2016-04-13,76.870003,79.160004,76.559998,79.129997,9365700,78.365889
2016-04-12,75.059998,76.739998,74.470001,76.099998,5129600,75.365149
2016-04-11,74.610001,75.779999,74.610001,74.629997,3904800,73.909342
2016-04-08,75.029999,75.25,74.00,74.349998,4911000,73.632047
2016-04-07,74.489998,74.68,73.760002,74.169998,4800800,73.453785
2016-04-06,75.519997,75.57,73.699997,75.220001,4929800,74.493649
2016-04-05,75.32,75.849998,74.599998,75.239998,4386800,74.513453
2016-04-04,76.559998,77.040001,75.419998,75.720001,4349500,74.988821
2016-04-01,75.650002,76.870003,74.669998,76.790001,4878300,76.048488
2016-03-31,76.300003,77.129997,76.239998,76.540001,4348700,75.800902
2016-03-30,76.940002,77.25,76.010002,76.510002,4886800,75.771193
2016-03-29,74.970001,76.050003,74.190002,76.010002,4085000,75.276021
2016-03-28,75.150002,75.550003,74.459999,75.32,3425400,74.592682
2016-03-24,72.93,75.349998,72.730003,75.290001,7036100,74.562973
2016-03-23,74.970001,75.120003,73.57,73.68,5352900,72.968519
2016-03-22,75.589996,76.080002,75.239998,75.550003,3625600,74.820464
2016-03-21,75.529999,76.349998,75.040001,75.889999,4315700,75.157178
2016-03-18,76.080002,76.940002,74.639999,75.470001,13750200,74.741235
2016-03-17,74.199997,76.300003,73.519997,75.900002,13316000,75.167083
2016-03-16,72.589996,74.510002,72.199997,74.339996,6641200,73.622142
2016-03-15,71.440002,72.470001,70.860001,72.440002,4674400,71.740495
2016-03-14,72.730003,73.440002,72.129997,72.730003,5060000,72.027696
2016-03-11,72.360001,73.099998,72.279999,72.800003,4787000,72.097019
2016-03-10,72.029999,72.029999,70.489998,71.360001,6352400,70.670922
2016-03-09,72.330002,72.699997,71.260002,71.870003,4907900,71.175999
2016-03-08,73.779999,74.110001,71.519997,71.730003,8748400,71.037352
