Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,101.459999,103.010002,101.169998,101.900002,11154200,101.900002
2016-06-23,103.449997,104.449997,103.07,104.440002,5545700,104.440002
2016-06-22,103.50,103.550003,102.190002,102.290001,4866400,102.290001
2016-06-21,102.690002,103.449997,102.269997,103.239998,4930300,103.239998
2016-06-20,102.879997,103.400002,102.599998,102.610001,6580400,102.610001
2016-06-17,101.440002,101.739998,100.400002,101.57,8486400,101.57
2016-06-16,99.970001,101.260002,98.769997,101.07,7990500,101.07
2016-06-15,100.629997,101.639999,100.25,100.629997,5554800,100.629997
2016-06-14,101.760002,102.050003,100.519997,101.279999,6909700,101.279999
2016-06-13,101.50,103.099998,101.379997,102.099998,6344800,102.099998
2016-06-10,102.470001,102.970001,101.260002,101.980003,7974300,101.980003
2016-06-09,102.040001,103.129997,102.029999,102.809998,4182900,102.809998
2016-06-08,103.550003,104.080002,102.669998,103.089996,6182200,103.089996
2016-06-07,101.839996,103.699997,101.610001,103.32,9723500,103.32
2016-06-06,101.339996,102.040001,100.919998,101.169998,5939600,101.169998
2016-06-03,100.650002,101.139999,100.00,100.660004,4916100,100.660004
2016-06-02,100.400002,100.57,99.720001,100.529999,6687900,100.529999
2016-06-01,100.239998,101.379997,99.889999,101.129997,4779800,101.129997
2016-05-31,102.150002,102.279999,100.57,101.00,7249500,101.00
2016-05-27,101.379997,102.110001,100.870003,102.019997,4997600,102.019997
2016-05-26,101.849998,102.370003,100.970001,101.50,4075200,101.50
2016-05-25,100.82,101.980003,100.82,101.769997,5428200,101.769997
2016-05-24,99.940002,100.760002,99.620003,100.190002,4367500,100.190002
2016-05-23,99.18,100.129997,99.07,99.379997,4157000,99.379997
2016-05-20,100.300003,100.400002,99.489998,99.790001,4681000,99.790001
2016-05-19,99.260002,100.080002,98.519997,99.849998,6241100,99.849998
2016-05-18,100.900002,101.269997,99.440002,100.059998,5927500,100.059998
2016-05-17,101.07,102.18,100.339996,100.75,7028000,100.75
2016-05-16,101.870003,102.599998,101.400002,102.290001,6779400,101.220003
2016-05-13,101.629997,102.040001,100.360001,100.739998,5665200,99.686214
2016-05-12,102.150002,102.419998,101.080002,102.120003,6532400,101.051783
2016-05-11,101.239998,101.739998,100.150002,101.139999,6850700,100.082031
2016-05-10,100.639999,101.290001,100.410004,101.269997,6698100,100.210668
2016-05-09,101.620003,101.800003,99.080002,100.349998,9342100,99.300294
2016-05-06,100.839996,102.699997,100.839996,101.860001,5966800,100.794501
2016-05-05,101.849998,102.599998,100.860001,101.419998,6474300,100.359101
2016-05-04,101.059998,102.300003,100.389999,100.589996,7444100,99.537781
2016-05-03,102.260002,102.349998,101.050003,101.32,7033600,100.260148
2016-05-02,101.830002,103.849998,101.800003,103.309998,6844500,102.22933
2016-04-29,101.139999,102.629997,100.610001,102.18,8826900,101.111153
2016-04-28,103.129997,104.260002,102.050003,102.400002,7598000,101.328853
2016-04-27,102.900002,103.940002,102.379997,103.849998,8383600,102.763682
2016-04-26,102.050003,102.980003,101.709999,102.290001,5650700,101.220003
2016-04-25,101.470001,101.769997,100.830002,101.510002,6612100,100.448163
2016-04-22,101.739998,102.50,101.50,102.010002,5754000,100.942933
2016-04-21,101.639999,102.800003,101.110001,101.400002,8278600,100.339313
2016-04-20,100.080002,102.540001,99.839996,101.690002,10150500,100.626281
2016-04-19,99.00,100.529999,98.160004,100.50,10584800,99.448726
2016-04-18,97.230003,98.760002,95.519997,98.699997,7770200,97.667552
2016-04-15,97.709999,97.800003,96.959999,97.230003,6551600,96.212935
2016-04-14,97.650002,98.269997,97.360001,97.980003,6162200,96.95509
2016-04-13,97.800003,97.910004,97.029999,97.599998,6406800,96.57906
