Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,30.110001,30.549999,29.75,29.82,78402900,29.82
2016-06-23,31.059999,31.209999,30.969999,31.190001,40229000,31.190001
2016-06-22,31.00,31.10,30.77,30.780001,36011800,30.780001
2016-06-21,30.879999,31.01,30.870001,30.940001,36034300,30.940001
2016-06-20,30.85,31.32,30.83,30.83,47891100,30.83
2016-06-17,30.65,30.719999,30.450001,30.60,55635900,30.60
2016-06-16,30.139999,30.74,30.08,30.639999,67618100,30.639999
2016-06-15,30.48,30.91,30.469999,30.59,43765200,30.360001
2016-06-14,29.82,30.459999,29.790001,30.440001,43700500,30.211129
2016-06-13,29.98,30.129999,29.790001,29.83,32960000,29.605715
2016-06-10,30.02,30.280001,29.93,30.040001,29430000,29.814137
2016-06-09,30.16,30.33,30.02,30.24,26527200,30.012632
2016-06-08,30.23,30.50,30.16,30.309999,29141300,30.082106
2016-06-07,30.139999,30.41,30.129999,30.139999,25650900,29.913384
2016-06-06,30.00,30.23,29.950001,30.120001,18662100,29.893536
2016-06-03,30.02,30.049999,29.809999,29.940001,23802500,29.714889
2016-06-02,30.01,30.049999,29.85,30.049999,19031300,29.82406
2016-06-01,30.040001,30.139999,29.889999,30.110001,21126700,29.88361
2016-05-31,30.120001,30.34,30.07,30.23,30296300,30.002707
2016-05-27,30.139999,30.190001,30.040001,30.120001,19499100,29.893536
2016-05-26,30.07,30.23,30.00,30.02,22647400,29.794287
2016-05-25,30.00,30.32,29.959999,30.09,27658300,29.86376
2016-05-24,29.719999,29.969999,29.690001,29.85,24220300,29.625565
2016-05-23,29.52,29.67,29.41,29.49,23615400,29.268271
2016-05-20,29.530001,29.68,29.43,29.559999,35004500,29.337745
2016-05-19,29.33,29.450001,29.059999,29.360001,34044800,29.13925
2016-05-18,29.700001,29.85,29.43,29.610001,27805500,29.38737
2016-05-17,29.889999,30.09,29.58,29.709999,33520100,29.486616
2016-05-16,29.549999,30.129999,29.52,29.959999,25698300,29.734737
2016-05-13,29.969999,30.110001,29.540001,29.639999,35266900,29.417143
2016-05-12,29.84,30.200001,29.84,30.09,47269600,29.86376
2016-05-11,30.50,30.75,30.34,30.34,23610500,30.111881
2016-05-10,29.99,30.559999,29.98,30.48,27130400,30.250827
2016-05-09,30.049999,30.09,29.629999,29.870001,27154300,29.645415
2016-05-06,29.68,30.24,29.41,30.120001,28301400,29.893536
2016-05-05,30.139999,30.24,29.799999,29.889999,31699200,29.665263
2016-05-04,30.40,30.42,29.889999,30.07,39794600,29.84391
2016-05-03,30.639999,30.709999,30.35,30.629999,27715500,30.399699
2016-05-02,30.639999,30.99,30.629999,30.889999,17191100,30.657745
2016-04-29,30.75,30.969999,30.60,30.75,28902600,30.518798
2016-04-28,30.74,31.219999,30.700001,30.90,28826800,30.66767
2016-04-27,30.940001,31.01,30.82,30.93,22943900,30.697445
2016-04-26,30.84,30.98,30.74,30.90,28684900,30.66767
2016-04-25,30.809999,30.860001,30.40,30.68,35476500,30.449324
2016-04-22,31.030001,31.18,30.309999,30.76,56497500,30.528723
2016-04-21,31.120001,31.280001,30.85,30.98,39651400,30.747068
2016-04-20,31.200001,31.35,31.049999,31.15,26550900,30.91579
2016-04-19,31.139999,31.209999,31.01,31.15,22872400,30.91579
2016-04-18,30.90,31.190001,30.90,31.059999,21074400,30.826467
2016-04-15,31.07,31.10,30.93,31.030001,24440100,30.796693
2016-04-14,30.99,31.08,30.860001,31.02,21497400,30.786768
2016-04-13,30.98,31.10,30.940001,30.98,23692700,30.747068
2016-04-12,30.68,30.93,30.58,30.809999,27555300,30.578346
2016-04-11,30.83,31.00,30.709999,30.709999,25126500,30.479098
2016-04-08,30.90,31.08,30.690001,30.790001,26808900,30.558498
2016-04-07,30.719999,30.780001,30.51,30.629999,33563500,30.399699
2016-04-06,30.889999,31.50,30.639999,30.90,36643200,30.66767
2016-04-05,30.950001,31.129999,30.780001,30.98,31282100,30.747068
2016-04-04,31.690001,31.709999,31.09,31.23,44929000,30.995188
2016-04-01,31.50,32.02,31.450001,31.93,39399600,31.689926
2016-03-31,31.889999,32.049999,31.76,31.790001,36834300,31.550979
2016-03-30,31.76,31.950001,31.73,31.83,35094000,31.590678
2016-03-29,31.459999,31.58,31.280001,31.48,38549800,31.243309
2016-03-28,31.139999,31.700001,31.10,31.49,39486800,31.253234
2016-03-24,30.91,31.110001,30.82,31.110001,27603000,30.876092
2016-03-23,31.040001,31.24,31.01,31.07,27235100,30.836392
2016-03-22,30.98,31.24,30.969999,31.059999,26036000,30.826467
2016-03-21,30.85,31.200001,30.790001,31.09,27368300,30.856242
2016-03-18,31.09,31.15,30.90,30.92,52373900,30.68752
