Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,143.029999,146.419998,140.919998,141.860001,9157800,141.860001
2016-06-23,150.559998,152.800003,150.139999,152.660004,2940500,152.660004
2016-06-22,148.009995,150.119995,147.990005,148.139999,2487600,148.139999
2016-06-21,148.50,148.830002,147.119995,148.350006,2424600,148.350006
2016-06-20,148.50,150.50,147.580002,147.75,3338900,147.75
2016-06-17,146.630005,148.229996,145.460007,145.639999,4296500,145.639999
2016-06-16,145.00,146.990005,143.529999,146.630005,3499200,146.630005
2016-06-15,147.160004,148.699997,145.899994,146.160004,2981400,146.160004
2016-06-14,148.220001,149.050003,145.449997,146.190002,5069600,146.190002
2016-06-13,149.00,151.320007,148.589996,148.630005,3385800,148.630005
2016-06-10,151.350006,151.660004,149.570007,149.889999,4335700,149.889999
2016-06-09,153.789993,154.289993,152.460007,153.169998,2711700,153.169998
2016-06-08,155.199997,156.580002,153.910004,154.639999,2426800,154.639999
2016-06-07,157.199997,157.470001,155.169998,155.169998,2489700,155.169998
2016-06-06,156.25,157.910004,155.770004,157.059998,2540400,157.059998
2016-06-03,155.860001,156.539993,153.860001,155.669998,4329300,155.669998
2016-06-02,160.139999,160.330002,158.460007,159.279999,2257100,159.279999
2016-06-01,157.899994,160.550003,156.00,159.970001,2581600,159.970001
2016-05-31,160.399994,161.649994,158.550003,159.479996,2916100,159.479996
2016-05-27,158.699997,160.399994,158.320007,159.529999,2157000,159.529999
2016-05-26,161.160004,161.330002,159.169998,159.220001,2576100,158.570004
2016-05-25,158.059998,162.289993,158.029999,161.25,3259900,160.591716
2016-05-24,156.669998,158.550003,156.440002,157.589996,3038800,156.946654
2016-05-23,154.440002,156.089996,153.740005,155.449997,2767600,154.815391
2016-05-20,155.759995,156.410004,153.919998,154.509995,3247800,153.879226
2016-05-19,158.679993,159.949997,154.520004,154.699997,4712000,154.068453
2016-05-18,154.809998,160.00,154.649994,159.940002,3653300,159.287066
2016-05-17,154.740005,157.110001,153.770004,154.649994,2701500,154.018654
2016-05-16,155.339996,156.899994,154.600006,155.380005,3177700,154.745684
2016-05-13,157.880005,159.720001,155.259995,155.339996,2550100,154.705839
2016-05-12,160.320007,161.470001,157.309998,158.070007,2448100,157.424705
2016-05-11,161.360001,162.529999,159.279999,159.419998,2096900,158.769185
