Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,44.200001,44.560001,43.82,43.93,24701700,43.93
2016-06-23,45.029999,45.169998,44.84,45.080002,9655300,45.080002
2016-06-22,45.25,45.330002,44.810001,44.860001,10738900,44.860001
2016-06-21,45.16,45.279999,45.00,45.130001,7919400,45.130001
2016-06-20,45.09,45.310001,44.959999,44.98,10712400,44.98
2016-06-17,45.169998,45.220001,44.380001,44.790001,20805400,44.790001
2016-06-16,44.869999,45.34,44.720001,45.310001,11305400,45.310001
2016-06-15,45.119999,45.34,44.880001,45.009998,8360400,45.009998
2016-06-14,44.849998,45.130001,44.439999,45.040001,11298200,45.040001
2016-06-13,45.48,45.669998,45.09,45.119999,10613500,45.119999
2016-06-10,45.619999,46.009998,45.560001,45.990002,12357000,45.640003
2016-06-09,45.330002,45.799999,45.310001,45.759998,8042900,45.41175
2016-06-08,45.240002,45.66,45.189999,45.549999,7915400,45.203349
2016-06-07,45.349998,45.48,45.200001,45.32,9812600,44.9751
2016-06-06,45.09,45.48,45.080002,45.369999,10310600,45.024719
2016-06-03,44.75,45.049999,44.68,45.040001,13434900,44.697232
2016-06-02,44.700001,44.720001,44.50,44.720001,6693900,44.379668
2016-06-01,44.599998,44.779999,44.490002,44.700001,8916000,44.359819
2016-05-31,44.98,44.98,44.259998,44.599998,18935200,44.260578
2016-05-27,44.709999,44.959999,44.650002,44.779999,7893900,44.439209
2016-05-26,44.529999,44.77,44.439999,44.689999,8695800,44.349893
2016-05-25,44.509998,44.630001,44.25,44.380001,9218100,44.042255
2016-05-24,44.099998,44.419998,44.00,44.369999,12634200,44.032329
2016-05-23,44.07,44.16,43.939999,43.970001,13554700,43.635375
2016-05-20,44.509998,44.540001,43.939999,43.950001,12914100,43.615527
2016-05-19,44.25,44.389999,44.040001,44.32,10659500,43.98271
2016-05-18,44.560001,44.830002,44.23,44.48,12524300,44.141492
2016-05-17,45.450001,45.560001,44.709999,44.75,17457000,44.409438
2016-05-16,45.16,45.73,45.139999,45.619999,9413600,45.272816
2016-05-13,45.75,45.830002,45.23,45.349998,10341200,45.00487
2016-05-12,45.549999,45.900002,45.490002,45.830002,10463400,45.481221
2016-05-11,45.73,45.880001,45.450001,45.459999,8833100,45.114034
2016-05-10,45.439999,45.84,45.419998,45.75,8933500,45.401828
2016-05-09,45.32,45.50,45.169998,45.240002,8110600,44.895711
2016-05-06,45.060001,45.41,44.919998,45.32,8564000,44.9751
2016-05-05,44.93,45.490002,44.869999,45.060001,8801100,44.71708
