Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,70.550003,72.720001,70.510002,71.959999,14828200,71.959999
2016-06-23,72.199997,72.239998,71.790001,72.099998,6928100,72.099998
2016-06-22,71.599998,72.25,71.57,71.75,8425600,71.75
2016-06-21,70.949997,71.720001,70.949997,71.459999,6657400,71.459999
2016-06-20,71.309998,71.779999,71.050003,71.099998,7128800,71.099998
2016-06-17,71.050003,71.309998,70.400002,70.949997,17637400,70.949997
2016-06-16,71.00,71.459999,70.800003,71.300003,6697800,71.300003
2016-06-15,71.199997,71.610001,71.00,71.120003,7756000,71.120003
2016-06-14,70.660004,71.169998,70.199997,70.949997,9034600,70.949997
2016-06-13,71.00,71.18,70.489998,70.529999,7868800,70.529999
2016-06-10,71.00,71.410004,70.68,71.139999,7500400,71.139999
2016-06-09,71.360001,71.589996,70.849998,71.089996,6064700,71.089996
2016-06-08,70.849998,71.449997,70.800003,71.279999,6047400,71.279999
2016-06-07,71.099998,71.309998,70.849998,71.029999,7218500,71.029999
2016-06-06,71.519997,71.550003,71.00,71.050003,8971200,71.050003
2016-06-03,70.57,71.050003,70.519997,70.870003,6363600,70.870003
2016-06-02,70.50,71.00,70.150002,70.949997,6486100,70.949997
2016-06-01,70.50,70.910004,70.410004,70.50,7220900,70.50
2016-05-31,70.580002,71.00,70.480003,70.779999,7957700,70.779999
2016-05-27,70.860001,70.889999,70.489998,70.75,5762800,70.75
2016-05-26,70.690002,71.379997,70.599998,70.849998,8651000,70.849998
2016-05-25,70.25,71.00,70.239998,70.480003,7263900,70.480003
2016-05-24,69.650002,70.419998,69.550003,70.239998,8770900,70.239998
2016-05-23,69.599998,70.059998,69.440002,69.50,10072900,69.50
2016-05-20,69.330002,70.139999,68.849998,69.860001,16663000,69.860001
2016-05-19,68.099998,69.330002,67.50,69.199997,35076700,69.199997
2016-05-18,63.02,63.779999,62.720001,63.150002,22255900,63.150002
2016-05-17,66.059998,66.269997,64.879997,65.099998,9252700,65.099998
2016-05-16,64.860001,66.349998,64.68,66.019997,10181800,66.019997
2016-05-13,66.480003,66.550003,64.650002,64.940002,13744700,64.940002
2016-05-12,66.550003,67.050003,66.379997,66.849998,9533500,66.849998
2016-05-11,67.470001,67.50,65.610001,66.410004,14597500,66.410004
2016-05-10,68.919998,69.129997,68.449997,68.790001,6402900,68.290002
2016-05-09,68.25,69.099998,68.160004,68.949997,8656200,68.448835
2016-05-06,66.910004,68.260002,66.800003,68.25,9825400,67.753926
2016-05-05,66.970001,67.25,66.580002,67.209999,8091000,66.721484
2016-05-04,66.849998,67.489998,66.440002,67.190002,6029500,66.701633
2016-05-03,66.860001,67.50,66.75,67.00,5922600,66.513011
2016-05-02,66.620003,67.699997,66.529999,67.589996,7609700,67.098719
2016-04-29,68.730003,68.82,66.360001,66.870003,12099000,66.383959
2016-04-28,69.07,69.620003,68.75,68.910004,4776900,68.409132
2016-04-27,69.489998,69.779999,68.989998,69.419998,5147300,68.91542
